,movies_titles,directeur,scenaristes,pays,vedettes,synopsis,notes,budget
498,Infinite,Connor O'Hara,Connor O'Hara,UK,"George MacKay, Elliot James Langridge, Alexander Lincoln, Rory J. Saper",In his last months alive a young man calls upon his four closest friends to make his existence infinite through the assembly of five key elements from his life.,9.1,N/A
499,Jurassic World: Dominion,Colin Trevorrow,"Colin Trevorrow (screenplay by), Emily Carmichael (screenplay by), Derek Connolly (story by), Colin Trevorrow (story by), Michael Crichton (based on characters created by)",USA,"Bryce Dallas Howard, Chris Pratt, Sam Neill, Laura Dern",Plot kept under wraps.,N/A,N/A
500,,,,,,,,
501,,,,,,,,
502,,,,,,,,
503,,,,,,,,
504,,,,,,,,
505,,,,,,,,
506,,,,,,,,
507,,,,,,,,
508,,,,,,,,
509,,,,,,,,
510,,,,,,,,
511,,,,,,,,
512,,,,,,,,
513,,,,,,,,
514,,,,,,,,
515,,,,,,,,
516,,,,,,,,
517,,,,,,,,
518,,,,,,,,
519,Waves,Trey Edward Shults,Trey Edward Shults,"USA, Canada","Taylor Russell, Kelvin Harrison Jr., Alexa Demie, Bill Wise","Traces the journey of a suburban family - led by a well-intentioned but domineering father - as they navigate love, forgiveness, and coming together in the aftermath of a loss.",7.6,N/A
520,,,,,,,,
521,Radioactive,Marjane Satrapi,"Jack Thorne (screenplay by), Lauren Redniss (based on the book by)","UK, Hungary, China","Rosamund Pike, Yvette Feuer, Sam Riley, Mirjam Novak","A story of the scientific and romantic passions of Marie Sklodowska-Curie (Polish scientist) and Pierre Curie, and the reverberation of their discoveries throughout the 20th century.",5.9,N/A
522,,,,,,,,
523,,,,,,,,
524,Mulan,"Tony Bancroft, Barry Cook","Robert D. San Souci (based on a story by), Rita Hsiao (screenplay by), Chris Sanders (screenplay by), Philip LaZebnik (screenplay by), Raymond Singer (screenplay by), Eugenia Bostwick-Singer (screenplay by), Dean DeBlois (story co-head), John Sanford (story), Chris Williams (story), Tim Hodge (story), Julius Aguimatang (story), Burny Mattinson (story), Lorna Cook (story), Barry Johnson (story), Thom Enriquez (story), Ed Gombert (story), Joe Grant (story), Floyd Norman (story), Linda Woolverton (additional story material), Jodi Ann Johnson (additional story material), Alan Ormsby (additional story material), David Reynolds (additional story material), Don Dougherty (additional story material), Jorgen Klubien (additional story material), Denis Rich (additional story material), Joe Ekers (additional story material), Theodore Newton (additional story material), Larry Scholl (additional story material), Daan Jippes (additional story material), Frank Nissen (additional story material), Jeff Snow (additional story material)",USA,"Miguel Ferrer, Harvey Fierstein, Freda Foh Shen, June Foray","This retelling of the old Chinese folktale is about the story of a young Chinese maiden who learns that her weakened and lame father is to be called up into the army in order to fight the invading Huns. Knowing that he would never survive the rigours of war in his state, she decides to disguise herself and join in his place. Unknown to her, her ancestors are aware of this and to prevent it, they order a tiny disgraced dragon, Mushu to join her in order to force her to abandon her plan. He agrees, but when he meets Mulan, he learns that she cannot be dissuaded and so decides to help her in the perilous times ahead.",7.6,N/A
525,,,,,,,,
526,,,,,,,,
527,,,,,,,,
528,,,,,,,,
529,,,,,,,,
530,Tenet,Christopher Nolan,Christopher Nolan,"USA, UK","Robert Pattinson, Elizabeth Debicki, Aaron Taylor-Johnson, Kenneth Branagh","Armed with only one word -- Tenet -- and fighting for the survival of the entire world, the Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",N/A,N/A
531,Unhinged,Don Gronquist,"Don Gronquist, Reagan Ramsey",USA,"Laurel Munson, Janet Penner, Sara Ansley, Virginia Settle","College students, Terry, Nancy and Gloria are on their way to a rock concert, driving through a torrential rainstorm... only to crash their car, badly injuring one of them. Seeking shelter and aid they come across a house occupied by a man-hating mother and her daughter... our trio soon wish they hadn't.",5.0,N/A
532,,,,,,,,
533,,,,,,,,
534,,,,,,,,
535,,,,,,,,
536,,,,,,,,
537,The Empty Man,Jeff Edmond,N/A,USA,N/A,"A character driven story about two brothers. Michael Strum, a banker and family man, is made executor of his Mom's will. He is in charge of giving his younger brother David, an attempted suicide survivor and alcoholic, one thousand dollars a month from the estate. As David works out his demons to a clueless therapist, Michael keeps his demons below the surface. When Michael loses his job his calm demeanor slowly gives way to his true self.",N/A,N/A
538,,,,,,,,
539,,,,,,,,
540,,,,,,,,
541,,,,,,,,
542,,,,,,,,
543,,,,,,,,
544,,,,,,,,
545,,,,,,,,
546,,,,,,,,
547,,,,,,,,
548,,,,,,,,
549,We Summon the Darkness,Marc Meyers,Alan Trezza,"UK, USA, Canada","Alexandra Daddario, Keean Johnson, Maddie Hasson, Amy Forsyth","Three best friends embark on a road trip to a heavy-metal show, where they bond with three aspiring musicians and head off to one of the girls' country home for an after-party.",5.1,N/A
550,Monster Hunter,Paul W.S. Anderson,"Paul W.S. Anderson, Kaname Fujioka (video game series)","China, Germany, Japan, USA","Milla Jovovich, Tony Jaa, T.I., Meagan Good","When Lt. Artemis and her loyal soldiers are transported to a new world, they engage in a desperate battle for survival against enormous enemies with incredible powers. Feature film based on the video game by Capcom.",N/A,N/A
551,A Quiet Place Part II,John Krasinski,"Scott Beck (characters), John Krasinski, Bryan Woods (characters)",USA,"Emily Blunt, Millicent Simmonds, Cillian Murphy, Noah Jupe","Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize the creatures that hunt by sound are not the only threats lurking beyond the sand path.",N/A,N/A
552,,,,,,,,
553,,,,,,,,
554,The Conjuring: The Devil Made Me Do It,Michael Chaves,"David Leslie Johnson-McGoldrick (screenplay by), David Leslie Johnson-McGoldrick (story), James Wan (story)",USA,"Vera Farmiga, Patrick Wilson, Julian Hilliard, Mitchell Hoog",Plot unknown. Third installment of the Conjuring franchise.,N/A,N/A
555,Let Him Go,Francis X. Lord,"Nigel Goodwin (story by), Francis X. Lord",UK,"Kym Veldman, Kathryn Rigby, Nigel Goodwin, Noel Ross","A girl wakes beside her father who is being left kept alive on life support. Her mother is there with a doctor but also, more alarmingly, a priest.",7.8,N/A
556,,,,,,,,
557,Shakespeare: The King's Man,N/A,N/A,UK,"James Shapiro, Greg Hicks, Kelly Hunter, Dora Thornton",Shakespeare's life and work are sometimes romanticized as a product of the golden age of Elizabeth I. But the bard produced some of his finest plays after the Virgin Queen's death. In this ...,7.0,
558,,,,,,,,
559,,,,,,,,
560,,,,,,,,
561,Candyman,Bernard Rose,"Clive Barker (based on ""The Forbidden"" by), Bernard Rose","USA, UK","Virginia Madsen, Tony Todd, Xander Berkeley, Kasi Lemmons","Helen Lyle is a student who decides to write a thesis about local legends and myths. She visits a part of the town, where she learns about the legend of the Candyman, a one-armed man who appears when you say his name five times, in front of a mirror. Of course, Helen doesn't believe all this stuff, but the people of the area are really afraid. When she ignores their warnings and begins her investigation in the places that he is rumored to appear, a series of horrible murders begins. Could the legend be true?",6.6,N/A
562,,,,,,,,
563,,,,,,,,
564,Tom Clancy's Without Remorse,Stefano Sollima,"Tom Clancy (based on the novel by), Taylor Sheridan (screenplay)",USA,"Michael B. Jordan, Jamie Bell, Cam Gigandet, Luke Mitchell","John Clark, a Navy SEAL, goes on a path to avenge his wife's murder only to find himself inside of a larger conspiracy.",N/A,N/A
565,,,,,,,,
566,,,,,,,,
567,Halloween Kills,David Gordon Green,"John Carpenter (based on characters created by), David Gordon Green, Debra Hill (based on characters created by), Danny McBride, Scott Teems",USA,"Jamie Lee Curtis, Anthony Michael Hall, Judy Greer, Kyle Richards",The saga of Michael Myers and Laurie Strode continues in the next thrilling chapter of the Halloween series.,N/A,N/A
568,The French Dispatch,Wes Anderson,"Wes Anderson (screenplay by), Wes Anderson (story), Jason Schwartzman (story), Roman Coppola (story), Hugo Guinness (story)","Germany, USA","Elisabeth Moss, Timothée Chalamet, Saoirse Ronan, Tilda Swinton","A love letter to journalists set in an outpost of an American newspaper in a fictional twentieth century French city that brings to life a collection of stories published in ""The French Dispatch Magazine"".",N/A,N/A
569,Death on the Nile,John Guillermin,Anthony Shaffer (screenplay),UK,"Peter Ustinov, Jane Birkin, Lois Chiles, Bette Davis","Based on the Agatha Christie novel, our favourite Belgian detective, Hercule Poirot, is on a cruise up the Nile. He is surrounded by an interesting assortment of characters, including a wealthy heiress and her husband, on their honeymoon. It appears that everyone hates the heiress...",7.3,N/A
570,Snake Eyes: G.I. Joe Origins,Robert Schwentke,Evan Spiliotopoulos,USA,"Henry Golding, Andrew Koji, Úrsula Corberó, Steven Allerick",A G.I. Joe spin-off centered around the character of Snake Eyes.,N/A,N/A
571,Black Widow,Bob Rafelson,Ronald Bass,USA,"Debra Winger, Theresa Russell, Sami Frey, Dennis Hopper","Catherine is a black widow. ""She mates and then she kills"". Black Widow is the story of a lady (Catherine) who marries lonely millionaires, waits until they've changed their will to leave all to their beloved wives and then murders them to inherit the fortune. With each man Catherine marries, she changes her appearance to suit the mans personality. Only there's one problem. Alexandra is a smart cookie and has found a link between these unexplained mysterious deaths and the partners wives. But now her only problem is proving that a killer is on the loose and saving herself from the deadly Black Widow.",6.3,N/A
572,,,,,,,,
573,No Time to Die,King Ampaw,"King Ampaw, Klaus Bädekerl","Germany, Ghana","Fritz Baffour, Kofi Bucknor, Agnes Dapaa, David Dontoh","Asante, a hearse driver in Ghana, wants a wife. His profession puts most women off. He falls in love with a client whose mother has died, and manages to win her over. But her father forbids marriage to a hearse driver. Asante persists and becomes the first hearse driver in Accra to get married.",7.6,N/A
574,Deep Water,"Louise Osmond, Jerry Rothwell",N/A,UK,"Jean Badin, Simon Russell Beale, Clare Crowhurst, Donald Crowhurst",A documentary about the disastrous 1968 round-the-world yacht race.,7.8,N/A
575,,,,,,,,
576,,,,,,,,
577,Clifford the Big Red Dog,N/A,N/A,"UK, USA","John Ritter, Grey Griffin, Cree Summer, Kel Mitchell",The adventures of a larger-than-life red dog on Bridwell Island.,6.6,
578,Free Guy,Shawn Levy,"Matt Lieberman (screenplay by), Matt Lieberman (story by), Zak Penn (screenplay by)",USA,"Jodie Comer, Taika Waititi, Ryan Reynolds, Joe Keery","A bank teller discovers that he's actually an NPC inside a brutal, open world video game.",N/A,N/A
579,,,,,,,,
580,Dune,David Lynch,"Frank Herbert (novel), David Lynch (screenplay)","USA, Mexico","Francesca Annis, Leonardo Cimino, Brad Dourif, José Ferrer","In the far future, a duke and his family are sent by the Emperor to a sand world from which comes a spice that is essential for interstellar travel. The move is designed to destroy the duke and his family, but his son escapes and seeks revenge as he uses the world's ecology as one of his weapons.",6.5,N/A
581,West Side Story,"Jerome Robbins, Robert Wise","Ernest Lehman (screenplay), Arthur Laurents (book), Jerome Robbins (play)",USA,"Natalie Wood, Richard Beymer, Russ Tamblyn, Rita Moreno","West Side Story is the award-winning adaptation of the classic romantic tragedy, ""Romeo and Juliet"". The feuding families become two warring New York City gangs- the white Jets led by Riff and the Puerto Rican Sharks, led by Bernardo. Their hatred escalates to a point where neither can coexist with any form of understanding. But when Riff's best friend (and former Jet) Tony and Bernardo's younger sister Maria meet at a dance, no one can do anything to stop their love. Maria and Tony begin meeting in secret, planning to run away. Then the Sharks and Jets plan a rumble under the highway - whoever wins gains control of the streets. Maria sends Tony to stop it, hoping it can end the violence. It goes terribly wrong, and before the lovers know what's happened, tragedy strikes and doesn't stop until the climactic and heartbreaking ending.",7.5,N/A
582,Coming 2 America,Craig Brewer,"Kenya Barris (screenplay), Barry W. Blaustein (earlier screenplay), Eddie Murphy (characters), David Sheffield (earlier screenplay)",USA,"Eddie Murphy, Arsenio Hall, Jermaine Fowler, Leslie Jones",Akeem learns he has a long-lost son in the United States and must return to America to meet the unlikely heir to the throne of Zamunda. A sequel to the 1988 comedy 'Coming to America'.,N/A,N/A
583,The Croods 2,Joel Crawford,"Kirk DeMicco (creator), Dan Hageman (screenplay), Kevin Hageman (screenplay), Chris Sanders (creator)",USA,"Nicolas Cage, Ryan Reynolds, Emma Stone, Leslie Mann","The prehistoric family the Croods are challenged by a rival family the Bettermans, who claim to be better and more evolved.",N/A,N/A
584,Top Gun: Maverick,Joseph Kosinski,"Ehren Kruger (screenplay by), Eric Warren Singer (screenplay by), Christopher McQuarrie (screenplay by), Peter Craig (story by), Justin Marks (story by), Jim Cash (based on characters created by), Jack Epps Jr. (based on characters created by)","USA, China","Jennifer Connelly, Tom Cruise, Val Kilmer, Jon Hamm","After more than thirty years of service as one of the Navy's top aviators, Pete Mitchell is where he belongs, pushing the envelope as a courageous test pilot and dodging the advancement in rank that would ground him.",N/A,N/A
585,News of the World,Paul Greengrass,"Luke Davies (adaptation), Paulette Jiles (based on the novel by)",USA,"Tom Hanks, Neil Sandilands, Chukwudi Iwuji, Helena Zengel","A Texan traveling across the wild West bringing the news of the world to local townspeople, agrees to help rescue a young girl who was kidnapped.",N/A,N/A
586,Mortal Kombat,Paul W.S. Anderson,"Ed Boon (video games), John Tobias (video games), Kevin Droney",USA,"Christopher Lambert, Robin Shou, Linden Ashby, Cary-Hiroyuki Tagawa","Based on the popular video game of the same name ""Mortal Kombat"" tells the story of an ancient tournament where the best of the best of different Realms fight each other. The goal - ten wins to be able to legally invade the losing Realm. Outworld has so far collected nine wins against Earthrealm, so it's up to Lord Rayden and his fighters to stop Outworld from reaching the final victory...",5.8,N/A
587,Rumble,Jani Volanen,"Jari Nissinen (screenplay), Jari Nissinen (story), Jani Volanen (screenplay)",Finland,"Vesa-Matti Loiri, Jari Nissinen, Tommi Korpela, Jari Pehkonen",N/A,7.1,N/A
588,Chaos Walking,Doug Liman,"Charlie Kaufman (screenplay by), Lindsey Beer (screenplay by), John Lee Hancock (screenplay by), Gary Spinelli (screenplay by), Patrick Ness (screenplay by), Patrick Ness (based on the novel by), Andrew Gottlieb, David Rosen",USA,"Daisy Ridley, Tom Holland, Cynthia Erivo, Mads Mikkelsen","In Prentisstown, Todd has been brought up to believe that the Spackle released a germ that killed all the women and unleashed Noise on the remaining men. After discovering a patch of silence out in the swamp, his surrogate parents immediately tell him that he has to run, leaving him with only a map of New World, a message, and many unanswered questions. He soon discovers the source of the silence: a girl, named Viola. The two must hurry to warn an incoming ship of settlers as Mayor Prentiss prepares an army for war.",N/A,N/A
589,The Eternals,Pierre-Yves Vandeweerd,Pierre-Yves Vandeweerd,"Belgium, France, Azerbaijan",N/A,"We call those who suffer from the melancholy of eternity, eternals. Convinced that death cannot triumph over their lives, they believe that they are doomed to wander in anticipation of the ...",6.6,N/A
590,,,,,,,,
591,,,,,,,,
592,Ghostbusters: Afterlife,Jason Reitman,"Gil Kenan, Jason Reitman, Dan Aykroyd (based on the 1984 film ""Ghostbusters"" an Ivan Reitman film written by), Harold Ramis (based on the 1984 film ""Ghostbusters"" an Ivan Reitman film written by)","USA, Canada","Finn Wolfhard, Carrie Coon, Sigourney Weaver, Bill Murray","When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.",N/A,N/A
593,Morbius,Daniel Espinosa,"Matt Sazama (screenplay by), Burk Sharpless (screenplay by), Art Marcum (screenplay by), Matt Holloway (screenplay by), Matt Sazama (story by), Burk Sharpless (story by), Roy Thomas (based on the Marvel comics by), Gil Kane (based on the Marvel comics by)",USA,"Adria Arjona, Jared Leto, J.K. Simmons, Michael Keaton","Biochemist Michael Morbius tries to cure himself of a rare blood disease, but he inadvertently infects himself with a form of vampirism instead.",N/A,N/A
594,,,,,,,,
595,The Boss Baby 2,Tom McGrath,Marla Frazee (characters),USA,"Alec Baldwin, James McGrath",No plot is currently known,N/A,N/A
596,F9,Justin Lin,"Daniel Casey (screenplay), Gary Scott Thompson (characters)",USA,"Charlize Theron, Vin Diesel, Jordana Brewster, Michelle Rodriguez","Cypher enlists the help of Jakob, Dom's younger brother to take revenge on Dom and his team.",N/A,N/A
597,Shang-Chi and the Legend of the Ten Rings,Destin Daniel Cretton,"Dave Callaham, Steve Englehart (characters), Jim Starlin (characters)","USA, Australia","Awkwafina, Simu Liu, Tony Chiu-Wai Leung, Fala Chen","The movie, based on Marvel Comics, will focus on Shang-Chi; 'The Master of Kung-Fu'.",N/A,N/A
598,Infinite,Connor O'Hara,Connor O'Hara,UK,"George MacKay, Elliot James Langridge, Alexander Lincoln, Rory J. Saper",In his last months alive a young man calls upon his four closest friends to make his existence infinite through the assembly of five key elements from his life.,9.1,N/A
599,Jurassic World: Dominion,Colin Trevorrow,"Colin Trevorrow (screenplay by), Emily Carmichael (screenplay by), Derek Connolly (story by), Colin Trevorrow (story by), Michael Crichton (based on characters created by)",USA,"Bryce Dallas Howard, Chris Pratt, Sam Neill, Laura Dern",Plot kept under wraps.,N/A,N/A
